x ellipse_upper ellipse_lower parabola hyperbola_positive hyperbola_negative
-6.000000 0.000000 0.000000 3.760000 -0.333333 0.333333
-5.980000 0.000000 0.000000 3.721664 -0.334448 0.334448
-5.960000 0.000000 0.000000 3.683456 -0.335570 0.335570
-5.940000 0.000000 0.000000 3.645376 -0.336700 0.336700
-5.920000 0.000000 0.000000 3.607424 -0.337838 0.337838
-5.900000 0.000000 0.000000 3.569600 -0.338983 0.338983
-5.880000 0.000000 0.000000 3.531904 -0.340136 0.340136
-5.860000 0.000000 0.000000 3.494336 -0.341297 0.341297
-5.840000 0.000000 0.000000 3.456896 -0.342466 0.342466
-5.820000 0.000000 0.000000 3.419584 -0.343643 0.343643
-5.800000 0.000000 0.000000 3.382400 -0.344828 0.344828
-5.780000 0.000000 0.000000 3.345344 -0.346021 0.346021
-5.760000 0.000000 0.000000 3.308416 -0.347222 0.347222
-5.740000 0.000000 0.000000 3.271616 -0.348432 0.348432
-5.720000 0.000000 0.000000 3.234944 -0.349650 0.349650
-5.700000 0.000000 0.000000 3.198400 -0.350877 0.350877
-5.680000 0.000000 0.000000 3.161984 -0.352113 0.352113
-5.660000 0.000000 0.000000 3.125696 -0.353357 0.353357
-5.640000 0.000000 0.000000 3.089536 -0.354610 0.354610
-5.620000 0.000000 0.000000 3.053504 -0.355872 0.355872
-5.600000 0.000000 0.000000 3.017600 -0.357143 0.357143
-5.580000 0.000000 0.000000 2.981824 -0.358423 0.358423
-5.560000 0.000000 0.000000 2.946176 -0.359712 0.359712
-5.540000 0.000000 0.000000 2.910656 -0.361011 0.361011
-5.520000 0.000000 0.000000 2.875264 -0.362319 0.362319
-5.500000 0.000000 0.000000 2.840000 -0.363636 0.363636
-5.480000 0.000000 0.000000 2.804864 -0.364964 0.364964
-5.460000 0.000000 0.000000 2.769856 -0.366300 0.366300
-5.440000 0.000000 0.000000 2.734976 -0.367647 0.367647
-5.420000 0.000000 0.000000 2.700224 -0.369004 0.369004
-5.400000 0.000000 0.000000 2.665600 -0.370370 0.370370
-5.380000 0.000000 0.000000 2.631104 -0.371747 0.371747
-5.360000 0.000000 0.000000 2.596736 -0.373134 0.373134
-5.340000 0.000000 0.000000 2.562496 -0.374532 0.374532
-5.320000 0.000000 0.000000 2.528384 -0.375940 0.375940
-5.300000 0.000000 0.000000 2.494400 -0.377358 0.377358
-5.280000 0.000000 0.000000 2.460544 -0.378788 0.378788
-5.260000 0.000000 0.000000 2.426816 -0.380228 0.380228
-5.240000 0.000000 0.000000 2.393216 -0.381679 0.381679
-5.220000 0.000000 0.000000 2.359744 -0.383142 0.383142
-5.200000 0.000000 0.000000 2.326400 -0.384615 0.384615
-5.180000 0.000000 0.000000 2.293184 -0.386100 0.386100
-5.160000 0.000000 0.000000 2.260096 -0.387597 0.387597
-5.140000 0.000000 0.000000 2.227136 -0.389105 0.389105
-5.120000 0.000000 0.000000 2.194304 -0.390625 0.390625
-5.100000 0.000000 0.000000 2.161600 -0.392157 0.392157
-5.080000 0.000000 0.000000 2.129024 -0.393701 0.393701
-5.060000 0.000000 0.000000 2.096576 -0.395257 0.395257
-5.040000 0.000000 0.000000 2.064256 -0.396825 0.396825
-5.020000 0.000000 0.000000 2.032064 -0.398406 0.398406
-5.000000 0.000000 0.000000 2.000000 -0.400000 0.400000
-4.980000 0.223383 -0.223383 1.968064 -0.401606 0.401606
-4.960000 0.315595 -0.315595 1.936256 -0.403226 0.403226
-4.940000 0.386135 -0.386135 1.904576 -0.404858 0.404858
-4.920000 0.445421 -0.445421 1.873024 -0.406504 0.406504
-4.900000 0.497494 -0.497494 1.841600 -0.408163 0.408163
-4.880000 0.544426 -0.544426 1.810304 -0.409836 0.409836
-4.860000 0.587452 -0.587452 1.779136 -0.411523 0.411523
-4.840000 0.627375 -0.627375 1.748096 -0.413223 0.413223
-4.820000 0.664756 -0.664756 1.717184 -0.414938 0.414938
-4.800000 0.700000 -0.700000 1.686400 -0.416667 0.416667
-4.780000 0.733417 -0.733417 1.655744 -0.418410 0.418410
-4.760000 0.765245 -0.765245 1.625216 -0.420168 0.420168
-4.740000 0.795676 -0.795676 1.594816 -0.421941 0.421941
-4.720000 0.824864 -0.824864 1.564544 -0.423729 0.423729
-4.700000 0.852936 -0.852936 1.534400 -0.425532 0.425532
-4.680000 0.880000 -0.880000 1.504384 -0.427350 0.427350
-4.660000 0.906146 -0.906146 1.474496 -0.429185 0.429185
-4.640000 0.931450 -0.931450 1.444736 -0.431034 0.431034
-4.620000 0.955981 -0.955981 1.415104 -0.432900 0.432900
-4.600000 0.979796 -0.979796 1.385600 -0.434783 0.434783
-4.580000 1.002946 -1.002946 1.356224 -0.436681 0.436681
-4.560000 1.025475 -1.025475 1.326976 -0.438596 0.438596
-4.540000 1.047425 -1.047425 1.297856 -0.440529 0.440529
-4.520000 1.068831 -1.068831 1.268864 -0.442478 0.442478
-4.500000 1.089725 -1.089725 1.240000 -0.444444 0.444444
-4.480000 1.110135 -1.110135 1.211264 -0.446429 0.446429
-4.460000 1.130088 -1.130088 1.182656 -0.448430 0.448430
-4.440000 1.149609 -1.149609 1.154176 -0.450450 0.450450
-4.420000 1.168717 -1.168717 1.125824 -0.452489 0.452489
-4.400000 1.187434 -1.187434 1.097600 -0.454545 0.454545
-4.380000 1.205778 -1.205778 1.069504 -0.456621 0.456621
-4.360000 1.223765 -1.223765 1.041536 -0.458716 0.458716
-4.340000 1.241410 -1.241410 1.013696 -0.460829 0.460829
-4.320000 1.258730 -1.258730 0.985984 -0.462963 0.462963
-4.300000 1.275735 -1.275735 0.958400 -0.465116 0.465116
-4.280000 1.292440 -1.292440 0.930944 -0.467290 0.467290
-4.260000 1.308854 -1.308854 0.903616 -0.469484 0.469484
-4.240000 1.324991 -1.324991 0.876416 -0.471698 0.471698
-4.220000 1.340858 -1.340858 0.849344 -0.473934 0.473934
-4.200000 1.356466 -1.356466 0.822400 -0.476190 0.476190
-4.180000 1.371824 -1.371824 0.795584 -0.478469 0.478469
-4.160000 1.386939 -1.386939 0.768896 -0.480769 0.480769
-4.140000 1.401820 -1.401820 0.742336 -0.483092 0.483092
-4.120000 1.416474 -1.416474 0.715904 -0.485437 0.485437
-4.100000 1.430909 -1.430909 0.689600 -0.487805 0.487805
-4.080000 1.445130 -1.445130 0.663424 -0.490196 0.490196
-4.060000 1.459144 -1.459144 0.637376 -0.492611 0.492611
-4.040000 1.472956 -1.472956 0.611456 -0.495050 0.495050
-4.020000 1.486573 -1.486573 0.585664 -0.497512 0.497512
-4.000000 1.500000 -1.500000 0.560000 -0.500000 0.500000
-3.980000 1.513242 -1.513242 0.534464 -0.502513 0.502513
-3.960000 1.526303 -1.526303 0.509056 -0.505051 0.505051
-3.940000 1.539188 -1.539188 0.483776 -0.507614 0.507614
-3.920000 1.551902 -1.551902 0.458624 -0.510204 0.510204
-3.900000 1.564449 -1.564449 0.433600 -0.512821 0.512821
-3.880000 1.576832 -1.576832 0.408704 -0.515464 0.515464
-3.860000 1.589056 -1.589056 0.383936 -0.518135 0.518135
-3.840000 1.601125 -1.601125 0.359296 -0.520833 0.520833
-3.820000 1.613041 -1.613041 0.334784 -0.523560 0.523560
-3.800000 1.624808 -1.624808 0.310400 -0.526316 0.526316
-3.780000 1.636429 -1.636429 0.286144 -0.529101 0.529101
-3.760000 1.647908 -1.647908 0.262016 -0.531915 0.531915
-3.740000 1.659247 -1.659247 0.238016 -0.534759 0.534759
-3.720000 1.670449 -1.670449 0.214144 -0.537634 0.537634
-3.700000 1.681517 -1.681517 0.190400 -0.540541 0.540541
-3.680000 1.692454 -1.692454 0.166784 -0.543478 0.543478
-3.660000 1.703262 -1.703262 0.143296 -0.546448 0.546448
-3.640000 1.713943 -1.713943 0.119936 -0.549451 0.549451
-3.620000 1.724500 -1.724500 0.096704 -0.552486 0.552486
-3.600000 1.734935 -1.734935 0.073600 -0.555556 0.555556
-3.580000 1.745251 -1.745251 0.050624 -0.558659 0.558659
-3.560000 1.755449 -1.755449 0.027776 -0.561798 0.561798
-3.540000 1.765531 -1.765531 0.005056 -0.564972 0.564972
-3.520000 1.775500 -1.775500 -0.017536 -0.568182 0.568182
