x;linear;quadratic;cubic;square_root;inverse
0.200000;0.110000;0.003200;0.000048;0.737902;15.000000
0.217500;0.119625;0.003785;0.000062;0.769509;13.793103
0.235000;0.129250;0.004418;0.000078;0.799867;12.765957
0.252500;0.138875;0.005100;0.000097;0.829115;11.881188
0.270000;0.148500;0.005832;0.000118;0.857365;11.111111
0.287500;0.158125;0.006612;0.000143;0.884714;10.434783
0.305000;0.167750;0.007442;0.000170;0.911242;9.836066
0.322500;0.177375;0.008320;0.000201;0.937020;9.302326
0.340000;0.187000;0.009248;0.000236;0.962107;8.823529
0.357500;0.196625;0.010225;0.000274;0.986557;8.391608
0.375000;0.206250;0.011250;0.000316;1.010415;8.000000
0.392500;0.215875;0.012325;0.000363;1.033722;7.643312
0.410000;0.225500;0.013448;0.000414;1.056515;7.317073
0.427500;0.235125;0.014620;0.000469;1.078827;7.017544
0.445000;0.244750;0.015842;0.000529;1.100687;6.741573
0.462500;0.254375;0.017113;0.000594;1.122121;6.486486
0.480000;0.264000;0.018432;0.000664;1.143154;6.250000
0.497500;0.273625;0.019801;0.000739;1.163806;6.030151
0.515000;0.283250;0.021218;0.000820;1.184098;5.825243
0.532500;0.292875;0.022684;0.000906;1.204048;5.633803
0.550000;0.302500;0.024200;0.000998;1.223673;5.454545
0.567500;0.312125;0.025765;0.001097;1.242988;5.286344
0.585000;0.321750;0.027378;0.001201;1.262007;5.128205
0.602500;0.331375;0.029041;0.001312;1.280744;4.979253
0.620000;0.341000;0.030752;0.001430;1.299211;4.838710
0.637500;0.350625;0.032513;0.001555;1.317419;4.705882
0.655000;0.360250;0.034322;0.001686;1.335379;4.580153
0.672500;0.369875;0.036181;0.001825;1.353101;4.460967
0.690000;0.379500;0.038088;0.001971;1.370593;4.347826
0.707500;0.389125;0.040045;0.002125;1.387865;4.240283
0.725000;0.398750;0.042050;0.002286;1.404924;4.137931
0.742500;0.408375;0.044104;0.002456;1.421779;4.040404
0.760000;0.418000;0.046208;0.002634;1.438437;3.947368
0.777500;0.427625;0.048361;0.002820;1.454903;3.858521
0.795000;0.437250;0.050562;0.003015;1.471186;3.773585
0.812500;0.446875;0.052812;0.003218;1.487290;3.692308
0.830000;0.456500;0.055112;0.003431;1.503222;3.614458
0.847500;0.466125;0.057461;0.003652;1.518986;3.539823
0.865000;0.475750;0.059858;0.003883;1.534589;3.468208
0.882500;0.485375;0.062305;0.004124;1.550034;3.399433
0.900000;0.495000;0.064800;0.004374;1.565327;3.333333
0.917500;0.504625;0.067345;0.004634;1.580473;3.269755
0.935000;0.514250;0.069938;0.004904;1.595474;3.208556
0.952500;0.523875;0.072581;0.005185;1.610336;3.149606
0.970000;0.533500;0.075272;0.005476;1.625062;3.092784
0.987500;0.543125;0.078012;0.005778;1.639655;3.037975
1.005000;0.552750;0.080802;0.006090;1.654120;2.985075
1.022500;0.562375;0.083640;0.006414;1.668459;2.933985
1.040000;0.572000;0.086528;0.006749;1.682676;2.884615
1.057500;0.581625;0.089465;0.007096;1.696775;2.836879
1.075000;0.591250;0.092450;0.007454;1.710756;2.790698
1.092500;0.600875;0.095485;0.007824;1.724625;2.745995
1.110000;0.610500;0.098568;0.008206;1.738383;2.702703
1.127500;0.620125;0.101701;0.008600;1.752033;2.660754
1.145000;0.629750;0.104882;0.009007;1.765577;2.620087
1.162500;0.639375;0.108113;0.009426;1.779018;2.580645
1.180000;0.649000;0.111392;0.009858;1.792359;2.542373
1.197500;0.658625;0.114721;0.010303;1.805601;2.505219
1.215000;0.668250;0.118098;0.010762;1.818746;2.469136
1.232500;0.677875;0.121524;0.011233;1.831797;2.434077
1.250000;0.687500;0.125000;0.011719;1.844756;2.400000
1.267500;0.697125;0.128525;0.012218;1.857624;2.366864
1.285000;0.706750;0.132098;0.012731;1.870404;2.334630
1.302500;0.716375;0.135721;0.013258;1.883098;2.303263
1.320000;0.726000;0.139392;0.013800;1.895706;2.272727
1.337500;0.735625;0.143112;0.014356;1.908231;2.242991
1.355000;0.745250;0.146882;0.014927;1.920674;2.214022
1.372500;0.754875;0.150701;0.015513;1.933037;2.185792
1.390000;0.764500;0.154568;0.016114;1.945321;2.158273
1.407500;0.774125;0.158485;0.016730;1.957529;2.131439
1.425000;0.783750;0.162450;0.017362;1.969661;2.105263
1.442500;0.793375;0.166465;0.018009;1.981718;2.079723
